Chain,Chain ID,Morpho Protocol ID,Identifier,Supply or borrow,Position,Position ID
ethereum,1,1,0x000c918917765555eade0947e9f5ad0dac5782214436ed159ef36a4c164ff306,2,1.1.2.0x000c918917765555eade0947e9f5ad0dac5782214436ed159ef36a4c164ff306,36858889847451618871638824503344697328874463940038573200376918875286873845332
ethereum,1,1,0x000c918917765555eade0947e9f5ad0dac5782214436ed159ef36a4c164ff306,3,1.1.3.0x000c918917765555eade0947e9f5ad0dac5782214436ed159ef36a4c164ff306,88734124177401580600800151691766323716154178536350028915901730421432783191666
ethereum,1,1,0x008cbf30b3a54f2ba03bed5f6d27cca523fa5b80b8324c4aa6806a1f05a89b9b,2,1.1.2.0x008cbf30b3a54f2ba03bed5f6d27cca523fa5b80b8324c4aa6806a1f05a89b9b,36449852177360206611318588381476702681753684089695489651476720854873487019028
ethereum,1,1,0x008cbf30b3a54f2ba03bed5f6d27cca523fa5b80b8324c4aa6806a1f05a89b9b,3,1.1.3.0x008cbf30b3a54f2ba03bed5f6d27cca523fa5b80b8324c4aa6806a1f05a89b9b,93776347532229413788005050172846696460285734284408220922513812310270007600844
ethereum,1,1,0x010e577cd5d40210ae600cd877710c252a26afd7b50b1280642c76c4612bd6df,2,1.1.2.0x010e577cd5d40210ae600cd877710c252a26afd7b50b1280642c76c4612bd6df,66544665469051130443710812589621795661504467216841193238057760478418904271771
ethereum,1,1,0x010e577cd5d40210ae600cd877710c252a26afd7b50b1280642c76c4612bd6df,3,1.1.3.0x010e577cd5d40210ae600cd877710c252a26afd7b50b1280642c76c4612bd6df,33783619700426119276758093558839204649435946680291790876615369150494165208367
ethereum,1,1,0x0142390c8f7d69f2a8d03ce0fcde72221c4414477dc8635efd016506dcffa993,2,1.1.2.0x0142390c8f7d69f2a8d03ce0fcde72221c4414477dc8635efd016506dcffa993,6816183747955813841830194921162863581562387687098895883697946470256642048247
ethereum,1,1,0x0142390c8f7d69f2a8d03ce0fcde72221c4414477dc8635efd016506dcffa993,3,1.1.3.0x0142390c8f7d69f2a8d03ce0fcde72221c4414477dc8635efd016506dcffa993,60893382879453145731290459591721042539415736629463784880079818601317076654118
ethereum,1,1,0x015bffbe12c95a0fe61001440bf9e9b2040cb181f9bcfb680ee268e7cb6c7d2f,2,1.1.2.0x015bffbe12c95a0fe61001440bf9e9b2040cb181f9bcfb680ee268e7cb6c7d2f,90758471382131960161583844619940101752418649161959093841203714455218481110415
ethereum,1,1,0x015bffbe12c95a0fe61001440bf9e9b2040cb181f9bcfb680ee268e7cb6c7d2f,3,1.1.3.0x015bffbe12c95a0fe61001440bf9e9b2040cb181f9bcfb680ee268e7cb6c7d2f,40437906479611080804104678908077711786852856814739882877513862861389347053223
ethereum,1,1,0x0188775134d3541a13801c090658734743bcfe54662b045644f8e19d31958dfa,2,1.1.2.0x0188775134d3541a13801c090658734743bcfe54662b045644f8e19d31958dfa,49314626350644921836856352241541237484901051550371264516838430166243001104018
ethereum,1,1,0x0188775134d3541a13801c090658734743bcfe54662b045644f8e19d31958dfa,3,1.1.3.0x0188775134d3541a13801c090658734743bcfe54662b045644f8e19d31958dfa,36364786122185879032418400874037690780905200096340905274509793989563757400029
ethereum,1,1,0x01a2d4854fbfcbcfa595d22e41da4099e0f1c2b21fbaf106f0ad567ef85bae41,2,1.1.2.0x01a2d4854fbfcbcfa595d22e41da4099e0f1c2b21fbaf106f0ad567ef85bae41,37386801300635712002158513159030626110947981510275068645369641803118500645702
ethereum,1,1,0x01a2d4854fbfcbcfa595d22e41da4099e0f1c2b21fbaf106f0ad567ef85bae41,3,1.1.3.0x01a2d4854fbfcbcfa595d22e41da4099e0f1c2b21fbaf106f0ad567ef85bae41,55649204974917575129056827634756031048287279711669282636974738347178492859008
ethereum,1,1,0x02004e867fcd99902ea3177f68be26ab411e351d661a95ac1ecb6e770ccfd948,2,1.1.2.0x02004e867fcd99902ea3177f68be26ab411e351d661a95ac1ecb6e770ccfd948,3790290147416190176688250998732651933812453040027532931523066902113147322760
ethereum,1,1,0x02004e867fcd99902ea3177f68be26ab411e351d661a95ac1ecb6e770ccfd948,3,1.1.3.0x02004e867fcd99902ea3177f68be26ab411e351d661a95ac1ecb6e770ccfd948,51030110996694153717581016064150211461359223415003109454445687827992720941620
ethereum,1,1,0x0249b6db0b1f30e5a6cd362ab3468bf1b9b58bc51ced6ba5dd5b885180acdc43,2,1.1.2.0x0249b6db0b1f30e5a6cd362ab3468bf1b9b58bc51ced6ba5dd5b885180acdc43,40757119292667202617916994279339370214734918987528731938000443007635378820763
ethereum,1,1,0x0249b6db0b1f30e5a6cd362ab3468bf1b9b58bc51ced6ba5dd5b885180acdc43,3,1.1.3.0x0249b6db0b1f30e5a6cd362ab3468bf1b9b58bc51ced6ba5dd5b885180acdc43,108935540493065897325110281771148736509109373424510563973282251513784989768457
ethereum,1,1,0x028360c22e2ba7d771e700a291c6505a2c3c69c357ac2aa074d920758bce87b6,2,1.1.2.0x028360c22e2ba7d771e700a291c6505a2c3c69c357ac2aa074d920758bce87b6,40449671568579856750052810413626764024839264221707005456846246244915574530826
ethereum,1,1,0x028360c22e2ba7d771e700a291c6505a2c3c69c357ac2aa074d920758bce87b6,3,1.1.3.0x028360c22e2ba7d771e700a291c6505a2c3c69c357ac2aa074d920758bce87b6,7474146005866724952075464713096381171498911419317028138369005124674096161665
ethereum,1,1,0x02a2cfa7911c288dc918dc56b6b23b53557938f684fd01326f4b311b16178785,2,1.1.2.0x02a2cfa7911c288dc918dc56b6b23b53557938f684fd01326f4b311b16178785,35122213148388866966021554721358295827318679583169708604740514455811188027899
ethereum,1,1,0x02a2cfa7911c288dc918dc56b6b23b53557938f684fd01326f4b311b16178785,3,1.1.3.0x02a2cfa7911c288dc918dc56b6b23b53557938f684fd01326f4b311b16178785,112241354847890661511001981022303559631390203900807131942466751452510818755333
ethereum,1,1,0x02e207d9f2b7dac5d32cc9768b3e1225b9560f79c1c1132f35e3488b9331606b,2,1.1.2.0x02e207d9f2b7dac5d32cc9768b3e1225b9560f79c1c1132f35e3488b9331606b,55329715825679024080095534015320745580334234374116466385257860339414303213969
ethereum,1,1,0x02e207d9f2b7dac5d32cc9768b3e1225b9560f79c1c1132f35e3488b9331606b,3,1.1.3.0x02e207d9f2b7dac5d32cc9768b3e1225b9560f79c1c1132f35e3488b9331606b,102903751959236498642034182497298176416187925303294304664148093285811521845580
ethereum,1,1,0x02e723fdfc0c26779c2c06bbf783e2f4d6aebd03cedc1806981b742f1a644105,2,1.1.2.0x02e723fdfc0c26779c2c06bbf783e2f4d6aebd03cedc1806981b742f1a644105,35475424995522332191533012739653658632556806226201185056554360123312931191142
ethereum,1,1,0x02e723fdfc0c26779c2c06bbf783e2f4d6aebd03cedc1806981b742f1a644105,3,1.1.3.0x02e723fdfc0c26779c2c06bbf783e2f4d6aebd03cedc1806981b742f1a644105,70024390320928452829613749448419168634062326430579563712456865543954204162501
ethereum,1,1,0x03157b7411956c938c497a28d3d2efdc2761a6f659a0397b29285766f7b9bc0c,2,1.1.2.0x03157b7411956c938c497a28d3d2efdc2761a6f659a0397b29285766f7b9bc0c,1975539703234162451956955442602378307643761640179942853655622016426609096528
ethereum,1,1,0x03157b7411956c938c497a28d3d2efdc2761a6f659a0397b29285766f7b9bc0c,3,1.1.3.0x03157b7411956c938c497a28d3d2efdc2761a6f659a0397b29285766f7b9bc0c,40716122470503824445162495056823919466105146803661831668443108802469649213069
ethereum,1,1,0x031c7333014af51e4fd18031d14e4eaada58348cde3f6dc6ea8cca16f7387fb2,2,1.1.2.0x031c7333014af51e4fd18031d14e4eaada58348cde3f6dc6ea8cca16f7387fb2,33700192250610879114915501612945552803796750530542949150902895383694596328847
ethereum,1,1,0x031c7333014af51e4fd18031d14e4eaada58348cde3f6dc6ea8cca16f7387fb2,3,1.1.3.0x031c7333014af51e4fd18031d14e4eaada58348cde3f6dc6ea8cca16f7387fb2,66815229698654575267659178587697078659150386111215969906808994426382478504403
ethereum,1,1,0x0327849f3c97e7e94825211efdd26c421e1d0c68415ae0c367f77cf4d773d7f2,2,1.1.2.0x0327849f3c97e7e94825211efdd26c421e1d0c68415ae0c367f77cf4d773d7f2,105353801558930787667616864738631352353146286779617120984235549607944599059576
ethereum,1,1,0x0327849f3c97e7e94825211efdd26c421e1d0c68415ae0c367f77cf4d773d7f2,3,1.1.3.0x0327849f3c97e7e94825211efdd26c421e1d0c68415ae0c367f77cf4d773d7f2,68354580921510555636189390014974234428124460829612105328103656743428752543655
