Chain,Chain ID,Morpho Protocol ID,Identifier,Position,Position ID
ethereum,1,1,0x00B2681EC02650B16A2E4F6D34ea7d8866ed8eA4,1.1.1.0x00b2681ec02650b16a2e4f6d34ea7d8866ed8ea4,55288529191609670072353937885025731696973131832357250218763147481591190964903
ethereum,1,1,0x00B6f2C15E4439749f192D10c70f65354848Cf4b,1.1.1.0x00b6f2c15e4439749f192d10c70f65354848cf4b,81328640234042556070877418469284563471118984511899262194291741626850799281777
ethereum,1,1,0x018f8f5F52AAfF23FF838aE4637aFe22713FB428,1.1.1.0x018f8f5f52aaff23ff838ae4637afe22713fb428,62659963268996106078648981950992898280828144019828809829562181117207398955462
ethereum,1,1,0x01ff97514d77Bf3D1f989b382eC33C02F74038be,1.1.1.0x01ff97514d77bf3d1f989b382ec33c02f74038be,101390385937011998240838686328425435120743649865597534338620523855943559261582
ethereum,1,1,0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,1.1.1.0x0404fd1a77756eb029f06b5cdea88b2b2ddc2fee,110843989685957117463296827622362738618918478341802917407234317576342445993135
ethereum,1,1,0x0551DE0FF64E0ef199CA5714700F1c648E9Fca88,1.1.1.0x0551de0ff64e0ef199ca5714700f1c648e9fca88,51541123937913290113147520624215688538951058031247593487341062703984521357871
ethereum,1,1,0x0562AE950276B24F3eAE0d0a518dADB7Ad2F8D66,1.1.1.0x0562ae950276b24f3eae0d0a518dadb7ad2f8d66,74409280169874239457668816627963319724879729511770571133363505541520575327444
ethereum,1,1,0x059Fc6723b9bF77DbF4283C8d7C90eA8Af44EF10,1.1.1.0x059fc6723b9bf77dbf4283c8d7c90ea8af44ef10,13579940382110735762443474375181616410180076919105730153122074507557241295454
ethereum,1,1,0x05BbAbbbAE447129A03d3B36c7D6e62fECD2Cee5,1.1.1.0x05bbabbbae447129a03d3b36c7d6e62fecd2cee5,74002857773000512687752531164795102699066252623968223099772495738485312411788
ethereum,1,1,0x05e13DE0ce29a9Df350EF54fE37a8729af06Ecc3,1.1.1.0x05e13de0ce29a9df350ef54fe37a8729af06ecc3,11984086051815572363818957034076880352759692999296270701609071062233146330834
ethereum,1,1,0x061fd7757bc028551fe001b8844d0B312838F08d,1.1.1.0x061fd7757bc028551fe001b8844d0b312838f08d,63059058698544430080594033048854486725334385435127889002720441133623873099304
ethereum,1,1,0x08995EC16F3FAD0C357B3Da68Eee09A88932DEc0,1.1.1.0x08995ec16f3fad0c357b3da68eee09a88932dec0,43272979932232873080787955218870153828943448109361514461632159846747118404614
